[Thu Jul 30 11:48:24.362050 2020] [mpm_winnt:notice] [pid 3444:tid 848] AH00455: Apache/2.4.6 (Win32) PHP/5.4.17 configured -- resuming normal operations
[Thu Jul 30 11:48:24.363011 2020] [mpm_winnt:notice] [pid 3444:tid 848] AH00456: Apache Lounge VC10 Server built: Jul 16 2013 11:15:41
[Thu Jul 30 11:48:24.363011 2020] [core:notice] [pid 3444:tid 848] AH00094: Command line: 'C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool/apache2/bin/httpd_usbwv8.exe -d C:/Users/warri/Desktop/Sandia TCO Web Tool/TCO-Web-Tool/webtool/apache2'
[Thu Jul 30 11:48:24.367995 2020] [mpm_winnt:notice] [pid 3444:tid 848] AH00418: Parent: Created child process 8764
[Thu Jul 30 11:48:25.566956 2020] [mpm_winnt:notice] [pid 8764:tid 212] AH00354: Child: Starting 64 worker threads.
[Thu Jul 30 14:08:50.695260 2020] [:error] [pid 8764:tid 1340] [client ::1:56225] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 14:39:04.606266 2020] [:error] [pid 8764:tid 1360] [client ::1:52237] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 14:39:04.612252 2020] [:error] [pid 8764:tid 1360] [client ::1:52237] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
[Thu Jul 30 14:39:23.492033 2020] [:error] [pid 8764:tid 1360] [client ::1:52247] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 14:39:23.492033 2020] [:error] [pid 8764:tid 1360] [client ::1:52247] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 14:39:23.495026 2020] [:error] [pid 8764:tid 1360] [client ::1:52247] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 14:40:14.990711 2020] [:error] [pid 8764:tid 1360] [client ::1:52268] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 14:40:14.992705 2020] [:error] [pid 8764:tid 1360] [client ::1:52268] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 14:46:18.918729 2020] [:error] [pid 8764:tid 1344] [client ::1:62809] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 14:46:18.921700 2020] [:error] [pid 8764:tid 1344] [client ::1:62809] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
[Thu Jul 30 14:46:22.868142 2020] [:error] [pid 8764:tid 1344] [client ::1:62809] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 14:46:22.869139 2020] [:error] [pid 8764:tid 1344] [client ::1:62809] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 14:46:22.872132 2020] [:error] [pid 8764:tid 1344] [client ::1:62809] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 14:48:03.963398 2020] [:error] [pid 8764:tid 1344] [client ::1:49293] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 14:48:03.967388 2020] [:error] [pid 8764:tid 1344] [client ::1:49293] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
[Thu Jul 30 16:02:13.022095 2020] [:error] [pid 8764:tid 1344] [client ::1:54367] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:02:13.026084 2020] [:error] [pid 8764:tid 1344] [client ::1:54367] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
[Thu Jul 30 16:02:13.033066 2020] [:error] [pid 8764:tid 1340] [client ::1:54368] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:02:13.038054 2020] [:error] [pid 8764:tid 1340] [client ::1:54368] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.211846 2020] [:error] [pid 8764:tid 1340] [client ::1:54376] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.212846 2020] [:error] [pid 8764:tid 1340] [client ::1:54376] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.214840 2020] [:error] [pid 8764:tid 1344] [client ::1:54377] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.214840 2020] [:error] [pid 8764:tid 1344] [client ::1:54377] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.215838 2020] [:error] [pid 8764:tid 1340] [client ::1:54376] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.217830 2020] [:error] [pid 8764:tid 1344] [client ::1:54377] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.227804 2020] [:error] [pid 8764:tid 1348] [client ::1:54378] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.227804 2020] [:error] [pid 8764:tid 1348] [client ::1:54378] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:02:21.230796 2020] [:error] [pid 8764:tid 1348] [client ::1:54378] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.113559 2020] [:error] [pid 8764:tid 1344] [client ::1:54474] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.113559 2020] [:error] [pid 8764:tid 1344] [client ::1:54474] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.117548 2020] [:error] [pid 8764:tid 1344] [client ::1:54474] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.117548 2020] [:error] [pid 8764:tid 1348] [client ::1:54473] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.117548 2020] [:error] [pid 8764:tid 1348] [client ::1:54473] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.120541 2020] [:error] [pid 8764:tid 1348] [client ::1:54473] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.131512 2020] [:error] [pid 8764:tid 1340] [client ::1:54475] PHP Notice:  Undefined index: bevRange in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 18, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.131512 2020] [:error] [pid 8764:tid 1340] [client ::1:54475] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:04:36.134502 2020] [:error] [pid 8764:tid 1340] [client ::1:54475] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 54, referer: http://localhost:8080/
[Thu Jul 30 16:04:59.407195 2020] [:error] [pid 8764:tid 1340] [client ::1:54475] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:04:59.412182 2020] [:error] [pid 8764:tid 1340] [client ::1:54475] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
[Thu Jul 30 16:04:59.415174 2020] [:error] [pid 8764:tid 1348] [client ::1:55423] PHP Notice:  Undefined index: vmt in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 19, referer: http://localhost:8080/
[Thu Jul 30 16:04:59.420161 2020] [:error] [pid 8764:tid 1348] [client ::1:55423] PHP Fatal error:  Call to a member function fetch_assoc() on a non-object in C:\\Users\\warri\\Desktop\\Sandia TCO Web Tool\\TCO-Web-Tool\\webtool\\root\\assets\\PHP\\getID.php on line 60, referer: http://localhost:8080/
